Date,Mkt-RF
20010103,5.39
20010104,-1.3
20010105,-2.98
20010108,-0.36
20010109,0.51
20010110,1.44
20010111,1.39
20010112,-0.4
20010116,0.68
20010117,0.37
20010118,1.16
20010119,-0.55
20010122,-0.01
20010123,1.57
20010124,0.34
20010125,-0.81
20010126,-0.11
20010129,0.9
20010130,0.63
20010131,-0.72
20010201,0.39
20010202,-1.9
20010205,0.17
20010206,0.04
20010207,-0.86
20010208,-0.67
20010209,-1.42
20010212,1.1
20010213,-0.9
20010214,-0.04
20010215,0.93
20010216,-1.93
20010220,-1.93
20010221,-1.84
20010222,-0.48
20010223,-0.38
20010226,1.91
20010227,-1.17
20010228,-1.48
20010301,0.02
20010302,-0.53
20010305,0.54
20010306,1.06
20010307,0.58
20010308,-0.14
20010309,-2.5
20010312,-4.34
20010313,1.61
20010314,-2.5
20010315,0.34
20010316,-2.11
20010319,1.86
20010320,-2.4
20010321,-1.88
20010322,-0.43
20010323,2.08
20010326,1.09
20010327,2.4
20010328,-2.58
20010329,-0.53
20010330,1.19
20010402,-1.6
20010403,-3.69
20010404,-0.39
20010405,4.68
20010406,-2.07
20010409,0.87
20010410,2.87
20010411,-0.1
20010412,1.57
20010416,-0.47
20010417,1.1
20010418,3.92
20010419,1.48
20010420,-0.87
20010423,-1.72
20010424,-1.15
20010425,1.68
20010426,0.45
20010427,1.47
20010430,0.03
20010501,1.37
20010502,0.33
20010503,-1.58
20010504,1.45
20010507,-0.34
20010508,-0.09
20010509,-0.49
20010510,-0.1
20010511,-0.74
20010514,0.11
20010515,0.06
20010516,2.78
20010517,0.52
20010518,0.22
20010521,1.87
20010522,-0.15
20010523,-1.71
20010524,0.41
20010525,-1.04
20010529,-1.06
20010530,-1.74
20010531,0.73
20010601,0.54
20010604,0.49
20010605,1.45
20010606,-0.97
20010607,0.54
20010608,-0.99
20010611,-0.98
20010612,0.02
20010613,-1.06
20010614,-1.96
20010615,-0.46
20010618,-0.63
20010619,0.21
20010620,1.07
20010621,0.98
20010622,-1
20010625,-0.54
20010626,-0.04
20010627,-0.22
20010628,1.31
20010629,0.35
20010702,0.56
20010703,-0.21
20010705,-1.24
20010706,-2.29
20010709,0.59
20010710,-1.49
20010711,-0.18
20010712,2.44
20010713,0.54
20010716,-1.16
20010717,1.05
20010718,-0.69
20010719,0.51
20010720,-0.33
20010723,-1.55
20010724,-1.7
20010725,1.37
20010726,1.19
20010727,0.26
20010730,-0.12
20010731,0.5
20010801,0.48
20010802,0.33
20010803,-0.49
20010806,-1.16
20010807,0.21
20010808,-1.72
20010809,-0.06
20010810,0.44
20010813,0.23
20010814,-0.3
20010815,-0.75
20010816,0.21
20010817,-1.63
20010820,0.71
20010821,-1.22
20010822,0.71
20010823,-0.31
20010824,1.84
20010827,-0.42
20010828,-1.46
20010829,-0.98
20010830,-1.6
20010831,0.42
20010904,-0.12
20010905,-0.32
20010906,-2.13
20010907,-1.83
20010910,0.37
20010917,-5.03
20010918,-0.82
20010919,-1.67
20010920,-3.05
20010921,-1.96
20010924,3.82
20010925,0.74
20010926,-0.67
20010927,1.1
20010928,2.25
20011001,-0.45
20011002,1.17
20011003,2.28
20011004,-0.12
20011005,0.04
20011008,-0.8
20011009,-0.51
20011010,2.35
20011011,1.73
20011012,-0.57
20011015,-0.09
20011016,0.78
20011017,-2.02
20011018,-0.73
20011019,0.54
20011022,1.51
20011023,-0.51
20011024,0.08
20011025,1.42
20011026,0.41
20011029,-2.33
20011030,-1.76
20011031,0.18
20011101,2.1
20011102,0.18
20011105,1.42
20011106,1.44
20011107,-0.23
20011108,0.07
20011109,0.07
20011112,-0.07
20011113,1.86
20011114,0.34
20011115,0
20011116,-0.25
20011119,1.15
20011120,-0.8
20011121,-0.48
20011123,1.17
20011126,0.72
20011127,-0.55
20011128,-1.78
20011129,1.15
20011130,-0.14
20011203,-0.86
20011204,1.44
20011205,2.31
20011206,-0.12
20011207,-0.74
20011210,-1.52
20011211,-0.2
20011212,0.04
20011213,-1.51
20011214,0.31
20011217,1.05
20011218,0.84
20011219,0.43
20011220,-0.93
20011221,0.57
20011224,0.02
20011226,0.5
20011227,0.69
20011228,0.41
20011231,-1.04
20020102,0.42
20020103,0.99
20020104,0.7
20020107,-0.7
20020108,-0.23
20020109,-0.45
20020110,0.08
20020111,-0.86
20020114,-0.85
20020115,0.67
20020116,-1.62
20020117,1.06
20020118,-1.08
20020122,-0.81
20020123,0.92
20020124,0.4
20020125,0.09
20020128,0.05
20020129,-2.54
20020130,1.05
20020131,1.35
20020201,-0.71
20020204,-2.37
20020205,-0.35
20020206,-0.78
20020207,-0.41
20020208,1.59
20020211,1.33
20020212,-0.28
20020213,0.99
20020214,-0.24
20020215,-1.12
20020219,-1.94
20020220,1.33
20020221,-1.52
20020222,0.75
20020225,1.66
20020226,0.11
20020227,0.08
20020228,-0.31
20020301,2.22
20020304,1.98
20020305,-0.54
20020306,1.39
20020307,-0.42
20020308,0.72
20020311,0.29
20020312,-0.28
20020313,-0.91
20020314,-0.05
20020315,1.06
20020318,0.09
20020319,0.34
20020320,-1.5
20020321,0.31
20020322,-0.42
20020325,-1.45
20020326,0.6
20020327,0.55
